('x','y','z','intensity','index')
(0.7674338, -0.12154961, 0., 2585., 351)
(0.7674577, -0.10785919, 0., 2627., 352)
(0.7692232, -0.09444878, 0., 2603., 353)
(0.7160558, -0.07526053, 0., 1999., 354)
(0.75810415, -0.06632555, 0., 2595., 355)
(0.75515604, -0.05280569, 0., 3236., 356)
(0.7529667, -0.03946135, 0., 1843., 357)
(0.7375504, -0.02575586, 0., 2422., 358)
(0.7478861, -0.01305444, 0., 2442., 359)
(0.784, 0., 0., 2764., 0)
(0.7695309, 0.02687261, 0., 799., 2)
(0.7649502, 0.04008934, 0., 2334., 3)
(0.76114136, 0.05322419, 0., 1938., 4)
(0.74316126, 0.06501818, 0., 619., 5)
(0.7558366, 0.07944163, 0., 2548., 6)
(0.699745, 0.08591788, 0., 618., 7)
(0.76448697, 0.10744163, 0., 1934., 8)
(0.7694092, 0.12186244, 0., 2329., 9)
(0.7750437, 0.13666111, 0., 2623., 10)
(0.77254057, 0.15016668, 0., 3033., 11)
(0.78056175, 0.16591352, 0., 2746., 12)
(0.77657294, 0.17928599, 0., 2825., 13)
(0.77138513, 0.19232792, 0., 2479., 14)
(0.77177477, 0.20679642, 0., 2952., 15)
(0.7598942, -0.24690463, 0., 2601., 342)
(0.7640875, -0.23360504, 0., 2724., 343)
(0.7613192, -0.21830481, 0., 2715., 344)
(0.7659792, -0.20524353, 0., 2572., 345)
(0.7636227, -0.19039257, 0., 2638., 346)
(0.7522137, -0.17366225, 0., 2687., 347)
(0.7463266, -0.15863666, 0., 2346., 348)
(0.7509448, -0.14596891, 0., 2578., 349)
(0.75140834, -0.1324936, 0., 2790., 350)
(0.76052, -0.12045457, 0., 2704., 351)
(0.7545843, -0.10604994, 0., 2557., 352)
(0.75235, -0.092377, 0., 2659., 353)
(0.7548421, -0.07933714, 0., 2053., 354)
(0.75312316, -0.06588978, 0., 2832., 355)
(0.76513165, -0.05350325, 0., 3446., 356)
(0.7190133, -0.03768193, 0., 1981., 357)
(0.78152364, -0.02729145, 0., 2649., 358)
(0.75888443, -0.01324641, 0., 2850., 359)
(0.766, 0., 0., 2574., 0)
(0.62790436, 0.01096011, 0., 5133., 1)
(0.7095675, 0.02477864, 0., 1721., 2)
(0.7839242, 0.04108373, 0., 2827., 3)
(0.6943046, 0.04855051, 0., 4086., 4)
(0.85075027, 0.074431, 0., 496., 5)
(0.7727435, 0.08121862, 0., 2556., 6)
(0.7672382, 0.094205, 0., 853., 7)
(0.76151615, 0.10702411, 0., 964., 8)
(0.76447076, 0.12108027, 0., 2779., 9)
(0.76815003, 0.13544558, 0., 2700., 10)
(0.76566917, 0.14883101, 0., 2397., 11)
(0.76197696, 0.16196321, 0., 2763., 12)
(0.76000863, 0.17546181, 0., 2905., 13)
(0.7665337, 0.1911183, 0., 2872., 14)
(0.77177477, 0.20679642, 0., 2703., 15)
(0.75418776, -0.2450505, 0., 2902., 342)
(0.75834966, -0.23185079, 0., 2658., 343)
(0.75362915, -0.21609971, 0., 2735., 344)
(0.7592177, -0.20343181, 0., 2549., 345)
(0.7558603, -0.18845719, 0., 2288., 346)
(0.7483162, -0.17276245, 0., 2644., 347)
(0.7521955, -0.15988412, 0., 2555., 348)
(0.76665086, -0.14902186, 0., 2659., 349)
(0.76716524, -0.13527197, 0., 3070., 350)
(0.76052, -0.12045457, 0., 2546., 351)
(0.7526037, -0.10577159, 0., 2554., 352)
(0.75135744, -0.09225513, 0., 2967., 353)
(0.76876545, -0.08080054, 0., 1938., 354)
(0.75810415, -0.06632555, 0., 2595., 355)
(0.76712674, -0.05364276, 0., 3475., 356)
(0.7519681, -0.03940901, 0., 1895., 357)
(0.7385498, -0.02579076, 0., 2545., 358)
(0.73188853, -0.0127752, 0., 2167., 359)
(0.753, 0., 0., 2537., 0)
(0.6848957, 0.0119549, 0., 5769., 1)
(0.7665328, 0.02676792, 0., 1781., 2)
(0.77293926, 0.04050803, 0., 2778., 3)
(0.6604771, 0.05778426, 0., 793., 5)
(0.78169423, 0.08215937, 0., 2650., 6)
(0.7315065, 0.0898177, 0., 1256., 7)
(0.7714188, 0.10841584, 0., 688., 8)
(0.7703969, 0.12201887, 0., 2778., 9)
(0.7691349, 0.13561922, 0., 2592., 10)
(0.77254057, 0.15016668, 0., 2427., 11)
(0.7844744, 0.16674517, 0., 2781., 12)
(0.7785217, 0.1797359, 0., 2793., 13)
(0.7733257, 0.19281174, 0., 2938., 14)
(0.7737066, 0.20731406, 0., 2625., 15)
(0.75038356, -0.24381444, 0., 2523., 342)
(0.7545244, -0.2306813, 0., 2668., 343)
(0.7632418, -0.21885611, 0., 2367., 344)
(0.7621154, -0.20420825, 0., 2609., 345)
(0.75003856, -0.18700565, 0., 2881., 346)
(0.7522137, -0.17366225, 0., 2608., 347)
(0.7580644, -0.16113159, 0., 2721., 348)
(0.74996316, -0.1457781, 0., 2553., 349)
(0.7612564, -0.13423008, 0., 2842., 350)
(0.757557, -0.11998527, 0., 2596., 351)
(0.7486426, -0.10521489, 0., 2566., 352)
(0.75433505, -0.09262074, 0., 2575., 353)
(0.70611054, -0.07421524, 0., 1957., 354)
(0.7561118, -0.06615125, 0., 2568., 355)
(0.7561536, -0.05287544, 0., 3160., 356)
(0.7569612, -0.03967069, 0., 1888., 357)
(0.741548, -0.02589546, 0., 2504., 358)
(0.7398873, -0.01291482, 0., 2214., 359)
(0.784, 0., 0., 2422., 0)
(0.67589706, 0.01179783, 0., 6029., 1)
(0.7375504, 0.02575583, 0., 1819., 2)
(0.778931, 0.04082204, 0., 2775., 3)
(0.6583923, 0.04603928, 0., 5501., 4)
(0.6674505, 0.05839435, 0., 967., 5)
(0.7657818, 0.08048692, 0., 2682., 6)
(0.74540216, 0.09152388, 0., 2506., 7)
(0.7248762, 0.10187471, 0., 367., 8)
(0.79212606, 0.12546043, 0., 2477., 9)
(0.7770133, 0.13700841, 0., 2638., 10)
(0.7617427, 0.14806779, 0., 2771., 11)
(0.7570862, 0.16092364, 0., 2453., 12)
(0.75416243, 0.17411211, 0., 2872., 13)
(0.76362276, 0.19039252, 0., 2675., 14)
(0.77660435, 0.20809051, 0., 2882., 15)
(0.75418776, -0.2450505, 0., 2736., 342)
(0.75834966, -0.23185079, 0., 2579., 343)
(0.75651294, -0.21692663, 0., 2710., 344)
(0.7621154, -0.20420825, 0., 2580., 345)
(0.7519792, -0.1874895, 0., 2496., 346)
(0.7483162, -0.17276245, 0., 2722., 347)
(0.75512993, -0.16050786, 0., 2442., 348)
(0.7637059, -0.14844944, 0., 2592., 349)
(0.76716524, -0.13527197, 0., 2779., 350)
(0.7694092, -0.12186249, 0., 2762., 351)
(0.7724091, -0.10855505, 0., 2846., 352)
(0.76426053, -0.09383943, 0., 2729., 353)
(0.7120777, -0.07484242, 0., 2288., 354)
(0.76507753, -0.06693565, 0., 2698., 355)
(0.76513165, -0.05350325, 0., 3188., 356)
(0.7649502, -0.04008938, 0., 1878., 357)
(0.74954313, -0.02617466, 0., 2420., 358)
(0.76488346, -0.01335113, 0., 2218., 359)
